SRA_id,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species
SRR10492783,5353,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula edodes
SRR10492784,5353,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula edodes
SRR10492785,5353,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula edodes
SRR10513696,2340872,Eukaryota,Fungi,Mucoromycota,Endogonomycetes,Endogonales,Endogonaceae,Endogone,Endogone sp. FLAS-F59071
SRR10854678,111141,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius quietus
SRR10854679,111141,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius quietus
SRR10854680,111141,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius quietus
SRR10854681,111141,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius quietus
SRR10854682,111141,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius quietus
SRR10854683,111141,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius quietus
SRR10914754,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445740,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445741,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445743,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445744,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445745,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445746,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445747,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445749,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445750,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445751,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11445752,493452,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Squamanitaceae,Floccularia,Floccularia luteovirens
SRR11561613,5116,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria,Cryphonectria parasitica
SRR11561614,5116,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria,Cryphonectria parasitica
SRR11613694,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613695,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613696,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613697,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613698,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613699,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613700,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613701,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613702,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11622613,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11622614,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11622615,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
